"year";"gdp"
1975;18576
1976;18613
1977;18621
1978;19152
1979;20475
1980;21561
1981;21751
1982;22302
1983;22860
1984;23475
1985;24207
1986;24793
1987;25607
1988;26864
1989;28129
1990;28193
1991;26389
1992;25376
1993;25087
1994;25969
1995;26961
1996;27858
1997;29535
1998;31064
1999;32349
2000;34145
2001;34957
2002;35468
2003;36092
2004;37424
2005;38333
2006;39724
2007;41652
2008;41783
2009;38226
2010;39263
2011;40078
2012;39330
2013;38796
2014;38488
2015;38570
2016;39548
2017;40715
2018;41119
2019;41582
2020;40536
2021;41689
2022;42441
